game;discipline;medal;athlete
1896 Summer;Athletics Men's 1,500 metres;Bronze;Albin Georges Lermusiaux
1896 Summer;Athletics Men's 1,500 metres;Silver;Arthur Charles Blake
1896 Summer;Athletics Men's 1,500 metres;Gold;"Edwin Harold ""Teddy"" Flack"
1896 Summer;Athletics Men's 100 metres;Bronze;"Francis Adonijah ""Frank"" Lane"
1896 Summer;Athletics Men's 100 metres;Bronze;Alajos (Aljoz) Szokoly (-Szokol)
1896 Summer;Athletics Men's 100 metres;Silver;Fritz Hofmann
1896 Summer;Athletics Men's 100 metres;Gold;"Thomas Edmund ""Tom"" Burke"
1896 Summer;Athletics Men's 110 metres Hurdles;Silver;Grantley Thomas Smart Goulding
1896 Summer;Athletics Men's 110 metres Hurdles;Gold;"Thomas Pelham ""Tom"" Curtis"
1896 Summer;Athletics Men's 400 metres;Bronze;Charles Henry Stuart Gmelin
1896 Summer;Athletics Men's 400 metres;Silver;Herbert Brotherson Jamison
1896 Summer;Athletics Men's 400 metres;Gold;"Thomas Edmund ""Tom"" Burke"
1896 Summer;Athletics Men's 800 metres;Bronze;Dimitrios P. Golemis
1896 Summer;Athletics Men's 800 metres;Silver;Nndor Dni
1896 Summer;Athletics Men's 800 metres;Gold;"Edwin Harold ""Teddy"" Flack"
1896 Summer;Athletics Men's Discus Throw;Bronze;Sotirios Versis
1896 Summer;Athletics Men's Discus Throw;Silver;Panagiotis Paraskevopoulos
1896 Summer;Athletics Men's Discus Throw;Gold;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's High Jump;Silver;James Brendan Bennet Connolly
1896 Summer;Athletics Men's High Jump;Silver;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's High Jump;Gold;Ellery Harding Clark
1896 Summer;Athletics Men's Long Jump;Bronze;James Brendan Bennet Connolly
1896 Summer;Athletics Men's Long Jump;Silver;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's Long Jump;Gold;Ellery Harding Clark
1896 Summer;Athletics Men's Marathon;Bronze;Gyula Kellner
1896 Summer;Athletics Men's Marathon;Silver;Kharilaos Vasilakos
1896 Summer;Athletics Men's Marathon;Gold;"Spyridon ""Spyros"" Louis"
1896 Summer;Athletics Men's Pole Vault;Bronze;Evangelos Damaskos
1896 Summer;Athletics Men's Pole Vault;Bronze;Ioannis Theodoropoulos
1896 Summer;Athletics Men's Pole Vault;Silver;Albert Clinton Tyler
1896 Summer;Athletics Men's Pole Vault;Gold;"William Welles ""Bill"" Hoyt"
1896 Summer;Athletics Men's Shot Put;Bronze;Georgios Saranti Papasideris
1896 Summer;Athletics Men's Shot Put;Silver;Miltiadis Gouskos
1896 Summer;Athletics Men's Shot Put;Gold;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's Triple Jump;Bronze;Ioannis Persakis
1896 Summer;Athletics Men's Triple Jump;Silver;Pierre Alexandre Tuffri
1896 Summer;Athletics Men's Triple Jump;Gold;James Brendan Bennet Connolly
1896 Summer;Cycling Men's 10,000 metres;Bronze;Felix Adolf Schmal
1896 Summer;Cycling Men's 10,000 metres;Silver;Marie Lon Flameng
1896 Summer;Cycling Men's 10,000 metres;Gold;Paul Michel Pierre Adrien Masson (-Nossam)
1896 Summer;Cycling Men's 100 kilometres;Silver;Georgios Koletis
1896 Summer;Cycling Men's 100 kilometres;Gold;Marie Lon Flameng
1896 Summer;Cycling Men's 12-Hours Race;Silver;Frederick Keeping
1896 Summer;Cycling Men's 12-Hours Race;Gold;Felix Adolf Schmal
1896 Summer;Cycling Men's 333 metres Time Trial;Bronze;Felix Adolf Schmal
1896 Summer;Cycling Men's 333 metres Time Trial;Silver;Stamatios Nikolopoulos
1896 Summer;Cycling Men's 333 metres Time Trial;Gold;Paul Michel Pierre Adrien Masson (-Nossam)
1896 Summer;Cycling Men's Road Race, Individual;Bronze;Edward Battel
1896 Summer;Cycling Men's Road Race, Individual;Silver;Anton Gdrich
1896 Summer;Cycling Men's Road Race, Individual;Gold;Aristidis Konstantinidis
1896 Summer;Cycling Men's Sprint;Bronze;Marie Lon Flameng
1896 Summer;Cycling Men's Sprint;Silver;Stamatios Nikolopoulos
1896 Summer;Cycling Men's Sprint;Gold;Paul Michel Pierre Adrien Masson (-Nossam)
1896 Summer;Fencing Men's Foil, Individual;Bronze;Periklis Pierrakos-Mavromikhalis
1896 Summer;Fencing Men's Foil, Individual;Bronze;Athanasios Vouros
1896 Summer;Fencing Men's Foil, Individual;Silver;Eugne Henri Callot
1896 Summer;Fencing Men's Foil, Individual;Gold;Eugne Henry Gravelotte
1896 Summer;Fencing Men's Foil, Masters, Individual;Silver;Joanni Maurice Perronet
1896 Summer;Fencing Men's Foil, Masters, Individual;Gold;"Leonidas ""Leon"" Pyrgos"
1896 Summer;Fencing Men's Sabre, Individual;Bronze;Holger Louis Nielsen
1896 Summer;Fencing Men's Sabre, Individual;Silver;Tilemakhos Karakalos
1896 Summer;Fencing Men's Sabre, Individual;Gold;Ioannis Georgiadis
1896 Summer;Gymnastics Men's Horizontal Bar;Silver;Alfred Flatow
1896 Summer;Gymnastics Men's Horizontal Bar;Gold;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Conrad Helmut Fritz Bcker
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Alfred Flatow
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Gustav Felix Flatow
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Georg Otto Hilmar
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Julius Carl Fritz Manteuffel
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Karl Neukirch
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Richard Rstel
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Fritz Richard Gustav Schuft
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Carl Schuhmann
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Horse Vault;Bronze;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Horse Vault;Silver;"Jules Alexis ""Louis"" Zutter"
1896 Summer;Gymnastics Men's Horse Vault;Gold;Carl Schuhmann
1896 Summer;Gymnastics Men's Parallel Bars;Silver;"Jules Alexis ""Louis"" Zutter"
1896 Summer;Gymnastics Men's Parallel Bars;Gold;Alfred Flatow
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Bronze;Filippos Karvelas
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Bronze;Dimitrios Loundras
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Conrad Helmut Fritz Bcker
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Alfred Flatow
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Gustav Felix Flatow
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Georg Otto Hilmar
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Julius Carl Fritz Manteuffel
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Karl Neukirch
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Richard Rstel
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Fritz Richard Gustav Schuft
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Carl Schuhmann
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Pommelled Horse;Silver;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Pommelled Horse;Gold;"Jules Alexis ""Louis"" Zutter"
1896 Summer;Gymnastics Men's Rings;Bronze;Petros Persakis
1896 Summer;Gymnastics Men's Rings;Silver;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Rings;Gold;Ioannis Mitropoulos
1896 Summer;Gymnastics Men's Rope Climbing;Bronze;Fritz Hofmann
1896 Summer;Gymnastics Men's Rope Climbing;Silver;Thomas Xenakis
1896 Summer;Gymnastics Men's Rope Climbing;Gold;Nikolaos Andriakopoulos
1896 Summer;Shooting Men's Free Pistol, 30 metres;Bronze;Ioannis Frangoudis
1896 Summer;Shooting Men's Free Pistol, 30 metres;Silver;Holger Louis Nielsen
1896 Summer;Shooting Men's Free Pistol, 30 metres;Gold;Sumner Paine
1896 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres;Bronze;Alexander Viggo Jensen
1896 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres;Silver;Ioannis Frangoudis
1896 Summer;Shooting Men's Free Rifle, Three Positions, 300 metres;Gold;Georgios D. Orfanidis
1896 Summer;Shooting Men's Military Pistol, 25 metres;Bronze;Nikolaos Dorakis
1896 Summer;Shooting Men's Military Pistol, 25 metres;Silver;Sumner Paine
1896 Summer;Shooting Men's Military Pistol, 25 metres;Gold;John Bryant Paine
1896 Summer;Shooting Men's Military Rifle, 200 metres;Bronze;Nikolaos Trikoupis
1896 Summer;Shooting Men's Military Rifle, 200 metres;Silver;Pavlos Pavlidis
1896 Summer;Shooting Men's Military Rifle, 200 metres;Gold;Pantelis Karasevdas
1896 Summer;Shooting Men's Muzzle-Loading Pistol, 25 metres;Bronze;Holger Louis Nielsen
1896 Summer;Shooting Men's Muzzle-Loading Pistol, 25 metres;Silver;Georgios D. Orfanidis
1896 Summer;Shooting Men's Muzzle-Loading Pistol, 25 metres;Gold;Ioannis Frangoudis
1896 Summer;Swimming Men's 1,200 metres Freestyle;Silver;Ioannis Andreou
1896 Summer;Swimming Men's 1,200 metres Freestyle;Gold;Alfrd (Arnold-) Hajs (Guttmann-)
1896 Summer;Swimming Men's 100 metres Freestyle;Silver;Otto Herschmann
1896 Summer;Swimming Men's 100 metres Freestyle;Gold;Alfrd (Arnold-) Hajs (Guttmann-)
1896 Summer;Swimming Men's 100 metres Freestyle For Sailors;Bronze;Dimitrios Drivas
1896 Summer;Swimming Men's 100 metres Freestyle For Sailors;Silver;"Spyridon P. ""Spyros"" Khazapis"
1896 Summer;Swimming Men's 100 metres Freestyle For Sailors;Gold;Ioannis Malokinis
1896 Summer;Swimming Men's 500 metres Freestyle;Bronze;Efstathios Khorafas
1896 Summer;Swimming Men's 500 metres Freestyle;Silver;Antonios Pepanos
1896 Summer;Swimming Men's 500 metres Freestyle;Gold;Paul Neumann (-Newman)
1896 Summer;Tennis Men's Doubles;Bronze;"Edwin Harold ""Teddy"" Flack"
1896 Summer;Tennis Men's Doubles;Bronze;George Stuart Robertson
1896 Summer;Tennis Men's Doubles;Silver;Demetrius Emmanuel Casdagli
1896 Summer;Tennis Men's Doubles;Silver;Dimitrios Stephen Petrokokkinos
1896 Summer;Tennis Men's Doubles;Gold;John Mary Pius Boland
1896 Summer;Tennis Men's Doubles;Gold;"Friedrich Adolf ""Fritz"" Traun"
1896 Summer;Tennis Men's Singles;Bronze;"Khios ""Konstantinos"" Paspatis"
1896 Summer;Tennis Men's Singles;Bronze;Momcsill Tapavicza
1896 Summer;Tennis Men's Singles;Silver;Demetrius Emmanuel Casdagli
1896 Summer;Tennis Men's Singles;Gold;John Mary Pius Boland
1896 Summer;Weightlifting Men's Unlimited, One Hand;Bronze;Alexandros Nikolopoulos
1896 Summer;Weightlifting Men's Unlimited, One Hand;Silver;Alexander Viggo Jensen
1896 Summer;Weightlifting Men's Unlimited, One Hand;Gold;Launceston Elliot
1896 Summer;Weightlifting Men's Unlimited, Two Hands;Bronze;Sotirios Versis
1896 Summer;Weightlifting Men's Unlimited, Two Hands;Silver;Launceston Elliot
1896 Summer;Weightlifting Men's Unlimited, Two Hands;Gold;Alexander Viggo Jensen
1896 Summer;Wrestling Men's Unlimited Class, Greco-Roman;Bronze;Stefanos Khristopoulos
1896 Summer;Wrestling Men's Unlimited Class, Greco-Roman;Silver;Georgios Tsitas
1896 Summer;Wrestling Men's Unlimited Class, Greco-Roman;Gold;Carl Schuhmann
1900 Summer;Archery Men's Au Chapelet, 33 metres;Bronze;Frdric Adolphe Petit
1900 Summer;Archery Men's Au Chapelet, 33 metres;Silver;Victor Thibault
1900 Summer;Archery Men's Au Chapelet, 33 metres;Gold;Gerard Theodor Hubert Van Innis
1900 Summer;Archery Men's Au Chapelet, 50 metres;Bronze;mile Mercier
1900 Summer;Archery Men's Au Chapelet, 50 metres;Silver;Henri Hyacinthe Helle
1900 Summer;Archery Men's Au Chapelet, 50 metres;Gold;Eugne Mougin
1900 Summer;Archery Men's Au Cordon Dore, 33 metres;Bronze;Frdric Adolphe Petit
1900 Summer;Archery Men's Au Cordon Dore, 33 metres;Silver;Victor Thibault
1900 Summer;Archery Men's Au Cordon Dore, 33 metres;Gold;Gerard Theodor Hubert Van Innis
1900 Summer;Archery Men's Au Cordon Dore, 50 metres;Bronze;mile Lon Fisseux
1900 Summer;Archery Men's Au Cordon Dore, 50 metres;Silver;Gerard Theodor Hubert Van Innis
1900 Summer;Archery Men's Au Cordon Dore, 50 metres;Gold;Henri Louis Hrouin, Sr.
1900 Summer;Archery Men's Championnat Du Monde;Silver;Gerard Theodor Hubert Van Innis
1900 Summer;Archery Men's Championnat Du Monde;Gold;Henri Louis Hrouin, Sr.
1900 Summer;Archery Men's Sur La Perche a La Herse;Silver;Druart, Jr.
1900 Summer;Archery Men's Sur La Perche a La Herse;Silver;Auguste Serrurier
1900 Summer;Archery Men's Sur La Perche a La Herse;Gold;Emmanuel Foulon
1900 Summer;Archery Men's Sur La Perche a La Pyramide;Bronze;Louis Edouard Albert Glineur
1900 Summer;Archery Men's Sur La Perche a La Pyramide;Silver;Auguste Serrurier
1900 Summer;Archery Men's Sur La Perche a La Pyramide;Gold;mile Grumiaux
1900 Summer;Athletics Men's 1,500 metres;Bronze;John Bray
1900 Summer;Athletics Men's 1,500 metres;Silver;Henry Lon mile Deloge
1900 Summer;Athletics Men's 1,500 metres;Gold;Charles Bennett
1900 Summer;Athletics Men's 100 metres;Bronze;"Stanley Rupert ""Stan"" Rowley"
1900 Summer;Athletics Men's 100 metres;Silver;Walter Beardsley Tewksbury
1900 Summer;Athletics Men's 100 metres;Gold;Frank Washington Jarvis
1900 Summer;Athletics Men's 110 metres Hurdles;Bronze;"Frederick Graham ""Fred"" Moloney"
1900 Summer;Athletics Men's 110 metres Hurdles;Silver;John Frederick McLean
1900 Summer;Athletics Men's 110 metres Hurdles;Gold;"Alvin Christian ""Al"" Kraenzlein"
1900 Summer;Athletics Men's 2,500 metres Steeplechase;Bronze;Jean Chastani
1900 Summer;Athletics Men's 2,500 metres Steeplechase;Silver;Sidney John Robinson
1900 Summer;Athletics Men's 2,500 metres Steeplechase;Gold;George Washington F. Orton
1900 Summer;Athletics Men's 200 metres;Bronze;"Stanley Rupert ""Stan"" Rowley"
1900 Summer;Athletics Men's 200 metres;Silver;Norman Gilbert Pritchard (-Trevor)
1900 Summer;Athletics Men's 200 metres;Gold;Walter Beardsley Tewksbury
1900 Summer;Athletics Men's 200 metres Hurdles;Bronze;Walter Beardsley Tewksbury
1900 Summer;Athletics Men's 200 metres Hurdles;Silver;Norman Gilbert Pritchard (-Trevor)
1900 Summer;Athletics Men's 200 metres Hurdles;Gold;"Alvin Christian ""Al"" Kraenzlein"
1900 Summer;Athletics Men's 4,000 metres Steeplechase;Bronze;Sidney John Robinson
1900 Summer;Athletics Men's 4,000 metres Steeplechase;Silver;Charles Bennett
1900 Summer;Athletics Men's 4,000 metres Steeplechase;Gold;"John Thomas ""Jack"" Rimmer"
1900 Summer;Athletics Men's 400 metres;Bronze;Ernst Ludwig Emanuel Schultz
1900 Summer;Athletics Men's 400 metres;Silver;"William Joseph ""Bill"" Holland"
1900 Summer;Athletics Men's 400 metres;Gold;"Maxwell Warburn ""Maxey"" Long"
1900 Summer;Athletics Men's 400 metres Hurdles;Bronze;George Washington F. Orton
1900 Summer;Athletics Men's 400 metres Hurdles;Silver;Henri Alexis Tauzin
1900 Summer;Athletics Men's 400 metres Hurdles;Gold;Walter Beardsley Tewksbury
1900 Summer;Athletics Men's 5,000 metres, Team;Silver;Andr Castanet
1900 Summer;Athletics Men's 5,000 metres, Team;Silver;Albert Alphonse Champoudry
1900 Summer;Athletics Men's 5,000 metres, Team;Silver;Jean Chastani
1900 Summer;Athletics Men's 5,000 metres, Team;Silver;Henry Lon mile Deloge
1900 Summer;Athletics Men's 5,000 metres, Team;Silver;Adolphe Gaston Ragueneau
1900 Summer;Athletics Men's 5,000 metres, Team;Gold;Charles Bennett
1900 Summer;Athletics Men's 5,000 metres, Team;Gold;"John Thomas ""Jack"" Rimmer"
1900 Summer;Athletics Men's 5,000 metres, Team;Gold;Sidney John Robinson
1900 Summer;Athletics Men's 5,000 metres, Team;Gold;"Stanley Rupert ""Stan"" Rowley"
1900 Summer;Athletics Men's 5,000 metres, Team;Gold;Alfred Ernest Tysoe
1900 Summer;Athletics Men's 60 metres;Bronze;"Stanley Rupert ""Stan"" Rowley"
1900 Summer;Athletics Men's 60 metres;Silver;Walter Beardsley Tewksbury
1900 Summer;Athletics Men's 60 metres;Gold;"Alvin Christian ""Al"" Kraenzlein"
1900 Summer;Athletics Men's 800 metres;Bronze;"David Connolly ""Dave"" Hall"
1900 Summer;Athletics Men's 800 metres;Silver;John Francis Cregan
1900 Summer;Athletics Men's 800 metres;Gold;Alfred Ernest Tysoe
1900 Summer;Athletics Men's Discus Throw;Bronze;"Richard ""Dick"" Sheldon"
1900 Summer;Athletics Men's Discus Throw;Silver;Frantiek Janda-Suk
1900 Summer;Athletics Men's Discus Throw;Gold;Rudolf (-Rezs) Bauer
1900 Summer;Athletics Men's Hammer Throw;Bronze;Josiah Calvin McCracken, Jr.
1900 Summer;Athletics Men's Hammer Throw;Silver;Thomas Truxtun Hare
1900 Summer;Athletics Men's Hammer Throw;Gold;John Joseph Flanagan
1900 Summer;Athletics Men's High Jump;Bronze;Lajos Gnczy (Grn-)
1900 Summer;Athletics Men's High Jump;Silver;"Patrick Joseph ""Pat"" Leahy"
1900 Summer;Athletics Men's High Jump;Gold;"Irving Knott ""Irv"" Baxter"
1900 Summer;Athletics Men's Long Jump;Bronze;"Patrick Joseph ""Pat"" Leahy"
1900 Summer;Athletics Men's Long Jump;Silver;Meyer Prinstein
1900 Summer;Athletics Men's Long Jump;Gold;"Alvin Christian ""Al"" Kraenzlein"
1900 Summer;Athletics Men's Marathon;Bronze;Ernst Robert Efraim Fast
1900 Summer;Athletics Men's Marathon;Silver;mile Julien Champion
1900 Summer;Athletics Men's Marathon;Gold;Michel Johann Thato
1900 Summer;Athletics Men's Pole Vault;Bronze;Carl Albert Andersen
1900 Summer;Athletics Men's Pole Vault;Silver;Meredith Bright Colket
1900 Summer;Athletics Men's Pole Vault;Gold;"Irving Knott ""Irv"" Baxter"
1900 Summer;Athletics Men's Shot Put;Bronze;"Robert ""Bob"" Garrett"
1900 Summer;Athletics Men's Shot Put;Silver;Josiah Calvin McCracken, Jr.
1900 Summer;Athletics Men's Shot Put;Gold;"Richard ""Dick"" Sheldon"
1900 Summer;Athletics Men's Standing High Jump;Bronze;Lewis Pendleton Sheldon
1900 Summer;Athletics Men's Standing High Jump;Silver;"Irving Knott ""Irv"" Baxter"
1900 Summer;Athletics Men's Standing High Jump;Gold;"Raymond Clarence ""Ray"" Ewry"
1900 Summer;Athletics Men's Standing Long Jump;Bronze;mile Torcheboeuf
1900 Summer;Athletics Men's Standing Long Jump;Silver;"Irving Knott ""Irv"" Baxter"
1900 Summer;Athletics Men's Standing Long Jump;Gold;"Raymond Clarence ""Ray"" Ewry"
1900 Summer;Athletics Men's Standing Triple Jump;Bronze;"Robert ""Bob"" Garrett"
1900 Summer;Athletics Men's Standing Triple Jump;Silver;"Irving Knott ""Irv"" Baxter"
1900 Summer;Athletics Men's Standing Triple Jump;Gold;"Raymond Clarence ""Ray"" Ewry"
1900 Summer;Athletics Men's Triple Jump;Bronze;Lewis Pendleton Sheldon
1900 Summer;Athletics Men's Triple Jump;Silver;James Brendan Bennet Connolly
1900 Summer;Athletics Men's Triple Jump;Gold;Meyer Prinstein
1900 Summer;Basque Pelota Men's Two-Man Teams With Cesta;Gold;Jos de Amzola y Aspiza
1900 Summer;Basque Pelota Men's Two-Man Teams With Cesta;Gold;Francisco Villota y Baquiola
1900 Summer;Cricket Men's Cricket;Silver;William Wallace Anderson
1900 Summer;Cricket Men's Cricket;Silver;"William Dunbar ""Willie"" Attrill"
1900 Summer;Cricket Men's Cricket;Silver;J. Braid
1900 Summer;Cricket Men's Cricket;Silver;W. Browning
1900 Summer;Cricket Men's Cricket;Silver;Robert Horne
1900 Summer;Cricket Men's Cricket;Silver;Timothe Jordan
1900 Summer;Cricket Men's Cricket;Silver;Arthur MacEvoy
1900 Summer;Cricket Men's Cricket;Silver;Douglas Francis Robinson
1900 Summer;Cricket Men's Cricket;Silver;H. F. Roques
1900 Summer;Cricket Men's Cricket;Silver;Alfred John Schneidau
1900 Summer;Cricket Men's Cricket;Silver;Henry John Terry, Jr.
1900 Summer;Cricket Men's Cricket;Silver;Philip Humphreys Tomalin
1900 Summer;Cricket Men's Cricket;Gold;Charles Beachey Beachcroft (Kay-)
1900 Summer;Cricket Men's Cricket;Gold;Arthur Ernest Burrington Birkett
1900 Summer;Cricket Men's Cricket;Gold;Alfred James Bowerman
1900 Summer;Cricket Men's Cricket;Gold;George John Buckley
1900 Summer;Cricket Men's Cricket;Gold;Francis Romulus Burchell
1900 Summer;Cricket Men's Cricket;Gold;Frederick William Christian
1900 Summer;Cricket Men's Cricket;Gold;Harry Richard Corner
1900 Summer;Cricket Men's Cricket;Gold;Frederick William Cuming
1900 Summer;Cricket Men's Cricket;Gold;William Stephens Donne
1900 Summer;Cricket Men's Cricket;Gold;Alfred James Powlesland
1900 Summer;Cricket Men's Cricket;Gold;John Symes
1900 Summer;Cricket Men's Cricket;Gold;Montagu Henry Toller
1900 Summer;Croquet Mixed Doubles;Gold;Gaston Achille Louis Aumoitte
1900 Summer;Croquet Mixed Doubles;Gold;Georges douard Johin
1900 Summer;Croquet Mixed Singles, One Ball;Bronze;Chrtien Andr Waydelich
1900 Summer;Croquet Mixed Singles, One Ball;Silver;Georges douard Johin
1900 Summer;Croquet Mixed Singles, One Ball;Gold;Gaston Achille Louis Aumoitte
1900 Summer;Croquet Mixed Singles, Two Balls;Bronze;Marie Maurice Jacques Alfred Sautereau
1900 Summer;Croquet Mixed Singles, Two Balls;Silver;Maurice Marie Joseph Vignerot
1900 Summer;Croquet Mixed Singles, Two Balls;Gold;Chrtien Andr Waydelich
1900 Summer;Cycling Men's 25 kilometres;Bronze;Auguste Mose Daumain
1900 Summer;Cycling Men's 25 kilometres;Silver;Lloyd Augustin Biden Hildebrand
1900 Summer;Cycling Men's 25 kilometres;Gold;Louis Bastien
1900 Summer;Cycling Men's Points Race;Bronze;Louis Auguste Trousselier
1900 Summer;Cycling Men's Points Race;Silver;Karl Duill
1900 Summer;Cycling Men's Points Race;Gold;"Ernesto Mario ""Enrico"" Brusoni"
1900 Summer;Cycling Men's Sprint;Bronze;John Henry Lake
1900 Summer;Cycling Men's Sprint;Silver;"Fernando ""Fernand"" Sanz y Martinez de Arizala"
1900 Summer;Cycling Men's Sprint;Gold;Albert Philippe Taillandier
1900 Summer;Equestrianism Mixed Four-In-Hand Competition;Bronze;Jean Frdric Andr Poupart de Neuflize
1900 Summer;Equestrianism Mixed Four-In-Hand Competition;Silver;Lon Thome
1900 Summer;Equestrianism Mixed Four-In-Hand Competition;Gold;Georges Lambert Casimir Nagelmackers
1900 Summer;Equestrianism Mixed Hacks And Hunter Combined;Bronze;Robert de Montesquiou-Fzensac
1900 Summer;Equestrianism Mixed Hacks And Hunter Combined;Silver;Archenoul
1900 Summer;Equestrianism Mixed Hacks And Hunter Combined;Gold;Louis Napolon Murat
1900 Summer;Equestrianism Mixed High Jump;Bronze;Georges Van Der Poele
1900 Summer;Equestrianism Mixed High Jump;Gold;Dominique Maximien Gardres
1900 Summer;Equestrianism Mixed High Jump;Gold;"Giovanni Giorgio ""Giangiorgio"" Trissino"
1900 Summer;Equestrianism Mixed Jumping, Individual;Bronze;Louis Marie Joseph Le Beschu de Champsavin
1900 Summer;Equestrianism Mixed Jumping, Individual;Silver;Georges Van Der Poele
1900 Summer;Equestrianism Mixed Jumping, Individual;Gold;Aim Joseph Haegeman
1900 Summer;Equestrianism Mixed Long Jump;Bronze;de Prunel
1900 Summer;Equestrianism Mixed Long Jump;Silver;"Giovanni Giorgio ""Giangiorgio"" Trissino"
1900 Summer;Equestrianism Mixed Long Jump;Gold;Constant Octave Van Langhendonck
1900 Summer;Fencing Men's epee, Individual;Bronze;Lon Se
1900 Summer;Fencing Men's epee, Individual;Silver;Louis Lonce Thophile Perre
1900 Summer;Fencing Men's epee, Individual;Gold;Ramn Fonst Segundo
1900 Summer;Fencing Men's epee, Masters and Amateurs, Individual;Bronze;Lon Se
1900 Summer;Fencing Men's epee, Masters and Amateurs, Individual;Silver;Ramn Fonst Segundo
1900 Summer;Fencing Men's epee, Masters and Amateurs, Individual;Gold;Albert Jean Louis Ayat
1900 Summer;Fencing Men's epee, Masters, Individual;Bronze;Henri Albert Fernand Laurent
1900 Summer;Fencing Men's epee, Masters, Individual;Silver;Gilbert Bougnol
1900 Summer;Fencing Men's epee, Masters, Individual;Gold;Albert Jean Louis Ayat
1900 Summer;Fencing Men's Foil, Individual;Bronze;Marcel Jacques Amand Romain Boulenger
1900 Summer;Fencing Men's Foil, Individual;Silver;Eugne Henri Masson
1900 Summer;Fencing Men's Foil, Individual;Gold;mile Louis Franois Dsir Coste
1900 Summer;Fencing Men's Foil, Masters, Individual;Bronze;Jean-Baptiste Narcisse Mimiague
1900 Summer;Fencing Men's Foil, Masters, Individual;Silver;Simon Alphonse Kirchhoffer
1900 Summer;Fencing Men's Foil, Masters, Individual;Gold;Louis Lucien Mrignac
1900 Summer;Fencing Men's Sabre, Individual;Bronze;"Siegfried Friedrich ""Fritz"" Flesch"
1900 Summer;Fencing Men's Sabre, Individual;Silver;Lon Thibaut
1900 Summer;Fencing Men's Sabre, Individual;Gold;Louis Verrant Gabriel Le Bailly de la Falaise
1900 Summer;Fencing Men's Sabre, Masters, Individual;Bronze;Milan (Mihajlo) Nerali
1900 Summer;Fencing Men's Sabre, Masters, Individual;Silver;Italo Santelli
1900 Summer;Fencing Men's Sabre, Masters, Individual;Gold;Antonio Conte
1900 Summer;Football Men's Football;Bronze;Albert Delbecque
1900 Summer;Football Men's Football;Bronze;Raul Kelecom
1900 Summer;Football Men's Football;Bronze;Marcel Leboutte
1900 Summer;Football Men's Football;Bronze;Lucien Jean Londot
1900 Summer;Football Men's Football;Bronze;Ernest Marie Eugne Adolphe Moreau de Melen
1900 Summer;Football Men's Football;Bronze;Edmond Neefs
1900 Summer;Football Men's Football;Bronze;Georges Pelgrims
1900 Summer;Football Men's Football;Bronze;Alphonse Renier
1900 Summer;Football Men's Football;Bronze;mile Hilaire Spannoghe
1900 Summer;Football Men's Football;Bronze;Eric Peter Hypolithe Thornton
1900 Summer;Football Men's Football;Bronze;"Hendrik ""Henk"" van Heuckelum"
1900 Summer;Football Men's Football;Silver;Richard Louis Pierre Allemane
1900 Summer;Football Men's Football;Silver;Louis Dsir Bach
1900 Summer;Football Men's Football;Silver;Alfred Bloch
1900 Summer;Football Men's Football;Silver;Fernand mile Canelle
1900 Summer;Football Men's Football;Silver;R. Duparc
1900 Summer;Football Men's Football;Silver;Maurice Eugne Fraysse
1900 Summer;Football Men's Football;Silver;Ren Paul Virgile Gaillard
1900 Summer;Football Men's Football;Silver;Georges Garnier
1900 Summer;Football Men's Football;Silver;Ren Grandjean
